mu,X,Y
1.0,0.4999908622,0.5000091378
0.615848211066026,0.442357365,0.557642635
0.23357214690901212,0.262328338,0.737671662
0.14384498882876628,0.1763789352,0.8236210648
0.08858667904100823,0.1132022844,0.8867977156
0.012742749857031334,0.0169189478,0.9830810522
0.00042813323987193956,0.0005707084,0.9994292916
0.007847599703514606,0.0104381234,0.9895618766
0.0206913808111479,0.0273780016,0.9726219984
0.03359818286283781,0.0442435302,0.9557564698
0.05455594781168514,0.0711027424,0.9288972576
0.0011288378916846883,0.001506462,0.998493538
0.0001,0.0001327704,0.9998672296
0.0018329807108324356,0.0024428916,0.9975571084
0.00026366508987303583,0.000352306,0.999647694
0.0006951927961775605,0.0009288342,0.9990711658
0.0001623776739188721,0.0002171148,0.9997828852
0.004832930238571752,0.0064349964,0.9935650036
0.002976351441631319,0.003959612,0.996040388
0.3792690190732246,0.3590436346,0.6409563654
