s,X,Y,R,S,O
0.0001,0.08915073754090078,0.07510861771960828,0.25056829879528797,0.10168028329285692,0.4834920626513459
0.00014563484775012445,0.0889707219572986,0.07536519432619734,0.250825509691981,0.10142876600193876,0.4834098080225843
0.00021209508879201905,0.08870843180324609,0.07573965654849935,0.2511976919439887,0.10106250230062144,0.48329171740364435
0.00030888435964774815,0.08832619074175285,0.0762866852349835,0.2517345798118956,0.10052918209858835,0.4831233621127797
0.0004498432668969444,0.08776900131886411,0.07708688690531784,0.25250548180303006,0.09975271279830311,0.482885917174485
0.0006551285568595509,0.07966107775619716,0.06571159219949438,0.25360454809932753,0.09862254408824661,0.5024002378567344
0.0009540954763499944,0.09572173632776243,0.08524542174416133,0.2551541158453643,0.09697844002358677,0.46690028605912515
0.0013894954943731374,0.08719364184306894,0.0752728207667944,0.2572997467984521,0.09458931598627918,0.4856444746054054
0.0020235896477251557,0.08738233831318984,0.07525109376090819,0.2601808167948528,0.08738053344998581,0.4898052176810632
0.0029470517025518097,0.0870431257597084,0.07345286393050154,0.26383698369954606,0.08258731831228608,0.4930797082979578
0.004291934260128779,0.08517858139145616,0.07092637996899087,0.26795810963236705,0.07573785702847953,0.5001990719787064
0.0062505519252739694,0.08360491674309449,0.0692330825050399,0.27128164759570444,0.06339177727239464,0.5124885758837665
0.009102981779915217,0.07793673324290981,0.04889869599431057,0.27032290975973655,0.05105649842157031,0.5517851625814727
0.013257113655901081,0.07408106884702595,0.08127232423688557,0.25743178953262735,0.03901906870089609,0.5481957486825652
0.019306977288832496,0.054806584813306095,0.10716964804371487,0.22064949651316515,0.024580743504819095,0.5927935271249948
0.02811768697974228,0.029684205429828043,0.27747537407375555,0.1535889704900141,0.012317011018219892,0.5269344389881825
0.040949150623804234,0.009330388076603777,0.6059385605122252,0.07581401574638053,0.003596454825254303,0.30532058083953634
0.05963623316594643,0.0014567225077782623,0.8321682355266118,0.02337772732717112,0.0004552737414854427,0.14254204089695355
0.08685113737513521,9.582552060486469e-05,0.9958685114990748,0.004013938741927972,2.1724238392569168e-05,0.0
0.12648552168552957,1.798977808932304e-06,0.9996829013188703,0.0003149929196350651,3.0678368568524026e-07,0.0
0.18420699693267145,5.366875626904109e-09,0.9999920905286974,7.903359263038593e-06,7.451640531102356e-10,0.0
0.2682695795279725,3.910926651120766e-15,0.9999999627603984,3.7239596918036164e-08,5.612903990034432e-16,0.0
0.3906939937054613,0.0,1.0,0.0,0.0,0.0
0.5689866029018293,0.0,1.0,0.0,0.0,0.0
0.8286427728546842,0.0,1.0,0.0,0.0,0.0
1.2067926406393288,0.0,1.0,0.0,0.0,0.0
1.7575106248547894,0.0,1.0,0.0,0.0,0.0
2.559547922699533,0.0,1.0,0.0,0.0,0.0
3.727593720314938,0.0,1.0,0.0,0.0,0.0
5.428675439323859,0.0,1.0,0.0,0.0,0.0
7.9060432109076855,0.0,1.0,0.0,0.0,0.0
11.513953993264458,0.0,1.0,0.0,0.0,0.0
16.768329368110066,0.0,1.0,0.0,0.0,0.0
24.420530945486497,0.0,1.0,0.0,0.0,0.0
35.564803062231285,0.0,1.0,0.0,0.0,0.0
51.79474679231202,0.0,1.0,0.0,0.0,0.0
75.43120063354607,0.0,1.0,0.0,0.0,0.0
109.85411419875572,0.0,1.0,0.0,0.0,0.0
159.98587196060572,0.0,1.0,0.0,0.0,0.0
232.99518105153672,0.0,1.0,0.0,0.0,0.0
339.3221771895323,0.0,1.0,0.0,0.0,0.0
494.1713361323828,0.0,1.0,0.0,0.0,0.0
719.6856730011514,0.0,1.0,0.0,0.0,0.0
1048.1131341546852,0.0,1.0,0.0,0.0,0.0
1526.4179671752302,0.0,1.0,0.0,0.0,0.0
2222.996482526191,0.0,1.0,0.0,0.0,0.0
3237.45754281764,0.0,1.0,0.0,0.0,0.0
4714.8663634573895,0.0,1.0,0.0,0.0,0.0
6866.488450042998,0.0,1.0,0.0,0.0,0.0
10000.0,0.0,1.0,0.0,0.0,0.0
