gamma,X_{cj},X_{rj},Y_{cj},Y_{rj},T,V
0.0,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.05,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.1,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.15,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.2,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.25,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.3,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.35,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.4,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.45,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.5,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.55,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.6,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.65,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.7,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.75,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.8,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.85,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.9,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.95,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
