r,X,Y_{cj},Y_{rj},T,U,V,W
2.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
3.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
4.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
5.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
6.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
7.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
8.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
9.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
10.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
